x	y	sd
1492.1	958.48	13.353
78.107	1811.6	16.432
1489.8	959.79	14.436
52.611	1798.9	17.667
1514.4	993.27	15.215
1657.2	1741.5	11.708
1547	945.45	21.566
347.76	842.28	26.138
41.381	1799.7	31.263
63.002	1780.6	13.203
92.77	1778.7	15.94
1433.9	1825.3	28.193
71.449	1763.7	16.663
92.215	1774.3	17.41
67.383	1827	20.063
147.31	1731.7	14.993
64.25	1780.5	15.641
296.95	740.61	16.305
83.52	1764.7	11.233
287.87	644.6	16.822
56.752	1756.3	13.378
283.11	642.19	17.919
39.531	1740.1	16.343
303.41	716.75	15.345
306.87	674.15	14.218
330.85	715.75	15.958
283.09	697.52	17.348
307.78	725.26	14.825
321.16	768.58	13.432
339.57	754.04	15.322
310.33	757.87	17.072
283.76	785.71	14.925
291.24	853.81	16.752
288	773.19	15.59
313.1	740.44	14.38
345.26	764.64	14.076
306.65	790.1	18.686
324.12	770.1	14.075
1140.1	961.5	8.938
1145.9	986.65	8.066
1147.8	972.33	7.731
1148.4	1003.2	7.735
1124.9	971.22	13.773
1149.3	969.96	8.463
1753.9	1238.9	4.525
1136.2	979.22	7.69
1110.3	969.17	8.506
1126.2	959.93	8.1
1233.8	1868.4	8.796
1172.3	971.02	10.355
1242.8	1844.3	10.589
373.01	1160.8	25.482
1283.9	1828.1	8.452
1286.3	1844	8.212
1434.7	949.09	13.589
1381.1	838.07	10.294
1328.5	809.43	3.159
1474.8	972.62	8.416
1485.8	958.85	7.373
1919.9	1733.7	16.166
1469.6	955.78	6.434
1900.6	1699.8	13.522
1463.3	961.52	6.865
1455.7	966.32	6.69
1475	949.63	7.586
